lemma,count,Movement
Goswami,1,Conservatism
Netanyahu,2,Conservatism
Kim,1,Conservatism
Newman,2,Conservatism
Frilot,2,Conservatism
Grandma,1,Conservatism
Gideon,1,Conservatism
Ploss,1,Conservatism
Zadie,1,Conservatism
Ginsburg’s,1,Conservatism
Baier,5,Conservatism
Joseph,4,Conservatism
Kaczynski,1,Conservatism
Chuck,1,Conservatism
Brandon,1,Conservatism
Gorsuch,1,Conservatism
Thomas,1,Conservatism
Johnson,5,Conservatism
Carlson,2,Conservatism
Epstein,1,Conservatism
K,1,Conservatism
Jones,2,Conservatism
QAnon,1,Conservatism
Sparta,1,Conservatism
Jair,1,Conservatism
Jaime,1,Conservatism
Trump,45,Conservatism
von,1,Conservatism
Weinstein,1,Conservatism
Tom,1,Conservatism
Walker,2,Conservatism
Doug,1,Conservatism
Webb,1,Conservatism
Blackburn,1,Conservatism
Fischbach,1,Conservatism
Yoshihide,1,Conservatism
Bush,2,Conservatism
Kelly,2,Conservatism
Martin,1,Conservatism
Perkins,1,Conservatism
Sean,2,Conservatism
Lifetime,1,Conservatism
Holt,1,Conservatism
Jozef,1,Conservatism
Venus,1,Conservatism
Kamala,1,Conservatism
Drudge,1,Conservatism
Blake,1,Conservatism
Notes,1,Conservatism
Merkel’s,1,Conservatism
Goldwater,1,Conservatism
Obamas,1,Conservatism
Dan,1,Conservatism
Stephen,1,Conservatism
Schumer,1,Conservatism
Obama,2,Conservatism
Hoekstra,1,Conservatism
Taylor,1,Conservatism
Zuckerberg,1,Conservatism
Wade,1,Conservatism
Buttigieg,1,Conservatism
Rain,1,Conservatism
Hitler,1,Conservatism
Peter,1,Conservatism
Sara,1,Conservatism
Ms,1,Conservatism
Leticia,1,Conservatism
Bacevich,1,Conservatism
Ilian,2,Conservatism
Cruz,1,Conservatism
Barrett’s,6,Conservatism
Szajer,1,Conservatism
Alexis,1,Conservatism
Japans,1,Conservatism
